31003603560000,3,Alma Gas_ Inc.,60356,Olmstead (Jones) #2117,Alma,Upper Devonian,12,80,0,1992;
31013152130000,13,Kastle Resources Enterprises_ Inc.,15213,Rendell NY #80,Harmony,Medina,12,200,0,1996;
31037173620000,37,United States Gypsum Co.,17362,Bowker #1,Batavia City,Medina,12,4665,0,1989;
31029147620000,29,Seneca Resources Corp.,14762,Andres(Niefergold)#1178-I,North Collins,Medina,12,514,0,1997;
31013218150000,13,Chautauqua Energy_  Inc.,21815,Johnston_ S #1,Chautauqua,Medina,12,7063,0,1993;
31029137980000,29,Flint Oil & Gas_ Inc.,13798,Nickolai #3-1434,Marilla,Medina,7,5295,0,1986;
31029192230000,29,Belden & Blake Corporation,19223,Elvers_ P #1,Sardinia,Medina,12,2303,3,1993;
31037044770000,37,Lor-Rob Associates L.L.C.,4477,Kostanciak 1,Bethany,Medina,12,300,0,1994;
31099195800000,99,Columbia Natural Resources_ Inc.,19580,Sorensen 1 (4119),Fayette,Queenston,12,4715,0,1990;
31029208240000,29,Cotton Well Drilling Co._ Inc.,20824,Emerling #1,Concord,Medina,12,982,0,1993;
31013105300000,13,Belden & Blake Corporation,10530,Schrader 1,Portland,Medina,12,1429,0,1997;
31013177190000,13,REI-NY_ Inc.,17719,Piazza #2,Gerry,Bass Island,12,10762,3523,1987;
31029187120000,29,Belden & Blake Corporation,18712,Sebzda#1,Concord,Medina,12,3604,3,1994;
31029171760000,29,Subsea Oil & Gas_ Inc.,17176,Lambrix #1,Eden,Medina,11,933,0,1997;
31013222520000,13,Stedman Energy_ Inc.,22252,Brooks_ H #1,Busti,Medina,12,7812,30,1998;
31121135560000,121,Lenape Resources_ Inc.,13556,Milligan Brothers #6,Covington,Medina,12,3953,,2000;
31013153590000,13,Belden & Blake Corporation,15359,Barger 2,Ellery,Medina,12,326,0,1996;
31013127050000,13,Great Lakes Energy Partners,12705,McCord 1,Westfield,Medina,11,2260,0,1989;
31013143570000,13,Great Lakes Energy Partners,14357,McCutchean_ E 1,Ripley,Medina,12,793,0,1997;
31121171870000,121,United States Gypsum Co.,17187,Perl_ P. #1,Sheldon,Akron,12,1803,0,1993;
31013109580000,13,Belden & Blake Corporation,10958,Cliffstar-Gatto 1,Portland,Medina,1,329,0,1990;
31013143070000,13,Seneca Resources Corp.,14307,Ahlgren #6649,Busti,Medina,12,4543,0,1986;
31009187600000,9,Wood_ Robert H. & Joyce,18760,Milks_ Sr. 2 # 6307,Dayton,Medina,12,0,,2000;
31013163090000,13,Stedman Energy_ Inc.,16309,NYSRA #6-4,Stockton,Medina,12,985,20,1994;
31029197100000,29,Belden & Blake Corporation,19710,Biehl_ R #1,Sardinia,Medina,1,113,0,1989;
31013182340000,13,Universal Resources Holdings _ Inc.,18234,Penhollow #6,Charlotte,Medina,12,17334,225,1990;
31013178520000,13,Kastle Resources Enterprises_ Inc.,17852,Auffinger #4,Ellington,Medina,12,107,0,1993;
31013603230000,13,Seneca Resources Corp.,60323,Adamczak(Smith)#1841-I,Sheridan,Medina,12,2388,70,1998;
31013192750000,13,GFS Energy_ Inc.,19275,Swanson Well #1,Harmony,Tully,6,10606,0,1987;
31009164130000,9,Texas Keystone_ Inc.,16413,Larimer & Norton #2,Persia,Medina,11,6497,0,1990;
31013177890000,13,Tenpas_ Harold R.,17789,H Tenpas Unit #1,Sherman,Medina,12,0,0,1994;
31013126230000,13,Sanders_ Alice & David,12623,Sanders 1,Arkwright,Medina,12,29,0,1998;
31013125820000,13,Stedman Energy_ Inc.,12582,NYSRA #4-6,Harmony,Medina,12,2347,128,1996;
31053217280000,53,Nornew_ Inc.,21728,Fleming 1,Lebanon,Oneida-Oswego,2,896,0,1999;
31013118970000,13,Belden & Blake Corporation,11897,Cornell 423,Stockton,Medina,12,1703,2,1989;
31013167130000,13,Great Lakes Energy Partners,16713,NYSRA #5-23,Chautauqua,Medina,12,1182,0,1997;
31013107270000,13,Belden & Blake Corporation,10727,Montfort 1,Portland,Medina,12,3332,0,1994;
31013170850000,13,Nornew_ Inc.,17085,Mazzarisi #1,Busti,Medina,0,1836,0,1990;
31013192150000,13,Kastle Resources Enterprises_ Inc.,19215,Brehm 2,Cherry Creek,Medina,10,1301,0,1989;
31013157880000,13,Stedman Energy_ Inc.,15788,Gerring#1,Ellery,Medina,7,1884,0,1988;
31013163880000,13,Stedman Energy_ Inc.,16388,Reed 5,Sherman,Medina,12,5758,3,1989;
31029047670000,29,Reserve Gas Co._ Inc.,4767,Lamka #1,Alden,Medina,12,601,0,1992;
31037204840000,37,United States Gypsum Co.,20484,Klotzbach_ H. #3,Alabama,Medina,12,3900,15,1998;
31013197200000,13,Nornew_ Inc.,19720,Westman_ J.R. Unit #1,Kiantone,Medina,12,21250,50,1988;
31051173570000,51,Lenape Resources_ Inc.,17357,Sturm & Wilson 153,York,Medina,12,88,0,1999;
31029114170000,29,Dresser Industrial Park_ Inc.,11417,Fee 1,Lancaster,Medina,0,0,0,1993;
"31029211970000,29,Matrix Energy Development_ Inc.,21197,Baldwin; R #1,Elma,Medina,9,4003,175,1990";
31013159240000,13,Copper Ridge Co.,15924,Girts #1,Ellicott,Medina,0,0,0,1998;
31013114240000,13,Belden & Blake Corporation,11424,Cranston 311,Stockton,Medina,10,5429,0,1986;
31121170790000,121,Lenape Resources_ Inc.,17079,Butler_ D #111,Perry,Medina,12,6959,0,1987;
31013172020000,13,Great Lakes Energy Partners,17202,Shields_ R 2,Poland,Medina,12,2285,0,2000;
31013209440000,13,Great Lakes Energy Partners,20944,Palmer R #1,Harmony,Medina,6,21806,0,1988;
31029041210000,29,Reserve Gas Co._ Inc.,4121,Stehle 1,Alden,Medina,0,0,0,1992;
31013117950000,13,Belden & Blake Corporation,11795,Weise 366,Chautauqua,Medina,12,5887,0,1986;
31029144340000,29,Rebilas_ Richard,14434,Rebilas 1,Marilla,Medina,0,0,0,1995;
31013218320000,13,Ardent Resources_ Inc.,21832,NYSRA #7-3,Charlotte,Medina,12,26140,0,1992;
31029165170000,29,Stedman Energy_ Inc.,16517,Milius,Brant,Medina,12,1114,0,1999;
31013227160000,13,Wilkes Energy_ Inc.,22716,Jones #1,Carroll,Medina,12,1855,,2000;
31009114780000,9,Boberg_ Frederick & Agnes,11478,Edmund_ R #20221,Fredom,Medina,12,30,0,1992;
31051041960000,51,Ardent Resources_ Inc.,4196,Smith 2,Leicester,Medina,0,0,0,1993;
31029187640000,29,Stedman Energy_ Inc.,18764,Fralick 2,Eden,Medina,9,482,45,1995;
31013190530000,13,Great Lakes Energy Partners,19053,Caflish_ E #1-K,Clymer,Medina,12,3044,0,2000;
31003639110000,3,God's Country Oil Co._ Inc.,63911,Trio Farm 67xg,Bolivar,Richburg,0,,,2000;
31013183840000,13,Kastle Resources Enterprises_ Inc.,18384,Hayes #1,Ellington,Medina,12,667,0,1999;
31013126100000,13,Belden & Blake Corporation,12610,Boyd 524,Stockton,Medina,0,0,0,1985;
31013184270000,13,Kastle Resources Enterprises_ Inc.,18427,Sheldon NY #3,Cherry Creek,Medina,7,28858,0,1987;
31013146000000,13,Cotton Well Drilling Co._ Inc.,14600,Calhoun #3139,Westfield,Medina,12,3915,100,1996;
31009176060000,9,Great Lakes Energy Partners,17606,Miller_ J #1,Conewango,Medina,10,15481,0,1991;
31029184640000,29,Cotton Well Drilling Co._ Inc.,18464,Pepper #1,Eden,Medina,12,795,2,1989;
31013122420000,13,Lenape Resources_ Inc.,12242,Ball 490,Arkwright,Medina,10,765,42,1992;
31013178090000,13,Kastle Resources Enterprises_ Inc.,17809,Auffinger #1,Ellington,Medina,12,0,0,1986;
31013112730000,13,Belden & Blake Corporation,11273,McGuinn R. 1 Unit 256,Portland,Medina,12,1550,0,1989;
31013121020000,13,Great Lakes Energy Partners,12102,Wick 1317,Hanover,Medina,4,618,13,1995;
31013123320000,13,Stedman Energy_ Inc.,12332,NYSRA #4-1,Harmony,Medina,12,772,50,1991;
31029190830000,29,Cotton Well Drilling Co._ Inc.,19083,Zittle E #1,Boston,Medina,10,294,0,1994;
31009180760000,9,Texas Keystone_ Inc.,18076,M Salisbury #2,Otto,Medina,12,3486,0,1994;
31013184160000,13,Chautauqua Energy_  Inc.,18416,Nickerson 3,Clymer,Medina,9,2522,0,1991;
31013186030000,13,Shelex Drilling_ Inc.,18603,Strata Unit1,Charlotte,Medina,7,2757,0,1996;
31037204330000,37,Fathers of Our Lady of Mercy,20433,Fussell 1,Le Roy,Medina,12,571,15,1993;
"31029181350000,29,New York Gas & Oil Co_ Inc.,18135,Schmidt; W #1,Marilla,Medina,0,0,0,1991";
31069040570000,69,Seneca Resources Corp.,4057,Birx_ H. #6663,East Bloomfield,Medina,12,622,0,1997;
31013117110000,13,Belden & Blake Corporation,11711,Village of Brocton 299,Portland,Medina,12,4118,13,1992;
